prices,available,address
€800 monthly,Available Now - Spacious end of terrace house. All mod cons. Two bathrooms. Downstairs  double en-suite bedroom  available. Bus stop for city centre and airport routes beside house. 83 and 83a bus stops  right outside the house. 8 minut...,"2 Griffith Parade, Dublin 11, Finglas, Dublin 11"
"€1,131 monthly","Available 18th September - Double bedroom available in a 4 bedroom, 5 bathroom house in ballsbridge. King-size bed with en-suite with shower, fitted wardrobe. Very large living area downstairs with very sunny aspect and large glass doors opening o...","Baggot Lane, Dublin 4, Dublin 4"
€850 monthly,"Available Now - Quality living you found it ! this delightful apartment, has recently been built off griffith avenue in a secure residential cul de sac. Minutes walk of drumcondra road and easy access to city centre, close to local shop...","All Hallows Green, Griffith Avenue, Dublin 9, Drumcondra, Dublin 9"
€650 monthly,"Available Now - Room available in a house with one other tenant (female) and owner. The house is semi-detached property, in a residential area, with front and back garden and parking available. Room available is an upstairs double room....","Roselawn, Dublin 15, Clonsilla, Dublin 15"
€800 monthly,"Available Now - Own private room, shared bathroom and kitchen/dinning room. Rent includes free parking, wifi, electricity, gas. The room is available immediately. Please contact via calls only between 2pm - 10pm.","6 Drumfinn Park, Dublin 10, Ballyfermot, Dublin 10"
€750 monthly,"Available Now - 2 double rooms available in harold's cross, very close to harold's cross bridge. The bedrooms have good storage with one having an option to have a desk. Highlights of the property:
- ample & secure parking
- secure bike...","Harold Bridge Court, Harold's Cross Road, Dublin 6, Harold's Cross, Dublin 6w"
€600 monthly,Available Now - Open to monthly renting or weekly rates on a sun-thurs arrangement. It is a cosy room at the front of the house with double bed in a quiet estate 10 minutes walk from clonsilla train station. It is also about 10 minutes ...,"Allendale Square, Clonsilla, Dublin 15, Clonsilla, Dublin 15"
€750 monthly,Available Now - This double bed room available  female.. Single large room with attached bathroom. Not shared with anyone.,"Mount Andrew Crescent, Lucan, Co. Dublin"
€560 monthly,Available 1st September - A large double bedroom available in a spacious house situated close to rathfarnham in a quite residential area with both private and on road parking. Oil fired central heating. Front and back gardens. Close to nutgrove s...,"23, Aranleigh Gardens, Rathfarnham, Dublin 14"
€800 monthly,Available 1st September - Please email me first if you are interested in the room. Giving a brief description of who you are. If you wish to leave your no. I can then contact you via whats app. The rear bedroom is north facing which makes the roo...,"Mellifont Ave, Dun Laoghaire, Co. Dublin"
"€1,200 monthly","Available 7th September - This is a 3 bedroom and 3 bathroom house. The master-bedroom with an en-suite toilet is available. It's a fully furnished house and this bedroom has a new bed, mattress, duvet and a set pillows. Spacious bedroom (size - ...","Castlegate Crescent, Adamstown, Lucan, Co. Dublin, Adamstown, Co. Dublin"
€750 monthly,"Available Now - A lovely very spacious double ensuite room to rent. Newly decorated to a very high standard

the house is located in a skerries


i am a single mum to  a  4 year old  and a 2 year old so i am looking for a quiet friendly...","Barnageeragh, Skerries, Co. Dublin"
"€1,150 monthly","Available Now - Available immediately. All bills included in price. Newly renovated, first let. Great location adjacent to the n4
quiet cul de-sac and quiet house,2 minute walk to hermitage park , next to main bus stops with all routes ...","Hermitage, Lucan, Co. Dublin"
€800 monthly,Available Now - Spacious double room with built in wardrobes and flat screen cable tv. Two minute walk to bus stop to city centre and serviced by a regular bus to blanchardstown shopping centre. Tennant will have sole use of main bathro...,"The Green Pheasant Run clonee, Dublin 15"
€850 monthly,Available Now - Double room for rent available from 1st of september (single person) in clondlakin d22. Email me for more informations...,"4 Station Grove, Station Road, Dublin 22, Clondalkin, Dublin 22"
€900 monthly,Available 23rd September - The room itself has its own chair and desk. 1 gb fibre data to the door. 2 x showers and toilets. On street parking in quiet cul-de-sac of thirty houses. Served by good public transport. 20 minutes cycle to the city cent...,"Saint Laurences Grove, Chapelizod, Dublin 20"
"€1,100 monthly",Available 15th September - One large double room to rent in totally refurbished quiet 3 bed house in glasnevin. Gated front and rear gardens. Off street parking. Ramps to front and rear doors. Upstairs bathroom with electric triton shower and down...,"Claremont Lawns, Glasnevin, Dublin 11"
"€1,485 monthly","Available Now - Overview:

- extra large dual-aspect, double bedroom €1485 monthly. (en-suite, walk-in wardrobe, own balcony)

- very bright and spacious,145m2  penthouse apartment. With 2 large balconies, large roof garden, 2 sepa...","Clarion Quay, North Wall Quay, IFSC, Dublin 1"
"€1,000 monthly","Available Now - Double room - €1,000 per month


female only shared accommodation. Sharing with 2 other females. Delighted to offer shared accommodation in this superb three bedroom semi-detached house, well located in a quiet cul-...","Saint Marys Park, Crumlin, Dublin 12"
"€1,250 monthly","Available 10th September - Double bedroom available in a newly built fully furnished 2 bedroom with 2 toilets apartment in d24 c85p, fortunestown, co. Dublin city west. A clean and tidy person(male/female /couple) working class

price: €1250 ...","D24 C85p, Fortunestown, Co. Dublin, Dublin 1"
