prices,available,address
"€1,100 monthly","Available 1st January - Amazing opportunity to rent a room in this beautiful house in the most quietest of areas. Located in glasnevin within close proximity to dublin city,  bon secours hospital,  dcu college , dublin airport and the beautiful...","37 Violet Hill Road, Dublin 11, Glasnevin, Dublin 11"
€950 monthly,"Available 2nd September - Large double room with balcony available for rent from september in a tidy 3 storey house

sharing with 2 girls and 2 guys in their mid 20's all working full time

rent 950 including all bills (electricity, gas, bins, ...","Rathborne Drive, Ashtown, Dublin 15, Royal Canal Park, Dublin 15"
€756 monthly,"Available 22nd September - Two double rooms available to rent in 3 bed flat situated in beaumont. Bills not included in rent price. Deposit: €1125

15 minute bus from airport, 20 minute bus from city centre. 16 bus line is 10 metres away from...","Shantalla Road, Dublin 9, Beaumont, Dublin 9"
€850 monthly,Available 1st September - Our room is 4 km away from the dublin center and is located next to a bus stop route 120. The broombridge station where luas and trains are running regularly is 5 minute walk away hence it is very easy to commute. The ro...,"Carnlough Road, Dublin 7, Glasnevin, Dublin 11"
"€1,500 monthly","Available 1st September - Hello,

are you searching for a calm place to call home in the heart of dublin's coolest area? Look no further! i have a highly impressive double bedroom available in a beautifully furnished two-bedroom apartment in hano...","Hanover Dock, Dublin 2, Hanover Quay, Dublin 2"
"€1,200 monthly","Available 1st September - Double room available in 2 bed apartment on charlemont street, dublin 2 
new bed frame, mattress, and the room was freshly painted in feb
you will have sole use of the main bathroom, new toilet, shower/bath and sink inst...","Apartment 160, Block 6, Harcourt Green, Charlemont, Dublin City Centre, Co. Dublin"
"€1,000 monthly","Available Now - Super big double bedroom with own separate bathroom available for rent in a warm(energy rating - b) apartment in saggart, city west, dublin 24. Feature:
- quiet and safe: the apartment has two access control doors. The r...","Apartment 17 , The Slade, Tassagard Greens, Garter, Citywest, Co. Dublin"
€800 monthly,"Available Now - Beautiful spacious bright 1 double room of the 2 bedroom warm comfortable apartment. Secured gate and lift facilitate modern planed kitchen equipped with electric cooker, fridge and washing machine, very large living roo...","Apartment 151 , Aras Na Cluaine, Yellow Meadows, Clondalkin, Dublin 22"
€350 weekly,"Available 1st September - An ensuite room available for short term rent in a 2-bedroom apartment 

availability: 1st - 15th september (flexible)

only looking for single person

details about the location:
located in a quiet & upscale neighborhoo...","Marietta Woods, Castlepark Road, Dalkey, Co. Dublin, Dalkey, Co. Dublin"
€700 monthly,"Available 24th August - This location is only minutes away from all local amenities and services including nearby bustop 39a, 39,  139, 39x , l52, clonsilla station, shops lidl, eurospar. The blanchardstown shopping centre and the m50/n3 motorw...","Mount Symon Lawn, Clonsilla, Dublin 15"
€700 monthly,"Available 1st September - Short term student accommodation 
from 1st september for 4 months only

all utilities included

rooms available in large two storey over basement period house on killiney hill road, in the heart of killiney village with ...","Mount Auburn House, Killiney Hill Road, Killiney, Dalkey, Co. Dublin"
"€1,500 monthly",Available 7th September - Urgently looking for someone. Centrally located and next door to google and grand canal dock dart station. Also close to meta. 20min walk into the city centre and st stephens green. 24hr buses available. Double room has ...,"The Gasworks, Grand Canal Dock, Dublin 4"
€750 monthly,"Available Now - Three rooms available from 6 months to one year pending personal circumstances. Recently renovated kitchen and heating system, new bathroom/shower. Excellent location!  immaculate and clean house. Double ensuite + double...","Monastery Gate Lawns,dublin 22, Fox & Geese, Dublin 22"
€800 monthly,"Available Now - Double room available for solo occupancy 
sharing in a quiet, clean red brick house on a lovely quiet road located beside fairview park, clontarf/connolly dart
bus to/from the city centre at the end of street or 25mins w...","62 Cadogan Road, Fairview, Dublin 3"
€632 monthly,"Available 1st September - Double room available from september for 6 months but with the possibility of it being extended

this is a clean, well maintained apartment. Located in a secure building. Apartment located 5 min walk from chapelizod vill...","Knockmaree Apartments, Chapelizod, Dublin 20"
€800 monthly,"Available Now - Room to rent in house in the residential area of ballycullen, modern house seperate washing machine and tumble dryer, electric shower, a comfortable house with good heating. Large double bedroom with double wardrobe and ...","Parklands View,dublin 24, Firhouse, Dublin 24"
€560 monthly,"Available 10th September - Large room for rent for a female for 3 months. Very good location, close to the dart station, bus stop and shops. 560 plus bills","Clonsilla,dublin 15, Clonsilla, Dublin 15"
€850 monthly,"Available 28th September - Spacious double room available in newly built two bedroom two bathroom apartment, with sole use of main bathroom. Rent of 850 includes bins, wifi and tv. Gas and electricity to be split. Available for initial six months,...","Diswellstown Avenue, Castleknock, Dublin 15"
€800 monthly,"Available 17th September - Quiet house, no pets or smoking/vaping. Near to public transport h1, 15 and dart services. Free street parking. Shopping centre and cafes, restaurants within walking distance. Bills are extra €50 a month depending o...","2 Killary Grove Donaghmede D13rv05, Donaghmede, Dublin 13"
"€1,334 monthly","Available 31st August - Double bedroom available in ballsbridge apartment, sharing with one other. The room includes own bathroom and shower (not en-suite). Apartment contains a large kitchen and a separate large sitting room. Facilities includ...","Oak House,oakbury Court,serpentine Avenue,dublin 4, Sandymount, Dublin 4"
