prices,available,address
"€1,300 monthly","Available 5th September - Double room (with european king size bed, which can be changed for a double bed) with shared bathroom available for long-term rent in the city centre. You will be sharing a spacious, recently painted flat with a spanish ...","Grattan Hall, Mount Street Lower, Dublin 2, Grand Canal Dock, Dublin 2"
"€1,100 monthly","Available 1st September - In a recently renovated house, there is a very large double room available to rent with double bed, locker/lamp, and ample storage. The house is superbly insulated resulting in low heating bills. Bus stops to city centre...","Ardlea Road, Artane, Dublin 5"
€200 weekly,"Available Now - This is a granny flat on the side of house own entrance, large double room, own bathroom parking, own locked entrance to kitchen which is shared with others in house. Local shops across the road, 10 minutes walk to the s...","74 Alderwood Avenue, Dublin 24, Tallaght, Dublin 24"
€850 monthly,"Available 25th August - Double bedroom (with brand new bed and mattress) available to rent immediately for at least 3 months initially

modern spacious and comfortable apartment with sky glass tv, including netflix, amazon prime, sky sports, an...","Pelletstown Avenue, Ashtown, Dublin 15"
€750 monthly,"Available 28th August - Hi,

our double bedroom is available for a person from 28th of august in citywest, dublin 24. We are looking for a human with common sense who respects our house rules. There is a small dog living with us. One month depo...","Belfry Square,citywest,co. Dublin, Citywest, Co. Dublin"
€760 monthly,"Available 1st September - This advertisement is for the rental of one double bedroom, in a shared house with 3 other tenants. The property has 4 double bedrooms in total, featuring 1 ensuite and 1 main bathroom. The house also includes a small ba...","Drumcondra, Dublin 3, Drumcondra, Dublin 3"
€850 monthly,"Available 15th September - Spacious room available in a modern terraced house within 10 mins walk from spencer dock luas stop, point village cinema, ifsc, 3arena and all major supermarkets

room is available for an initial period of 6 months but c...","45 Saint Mary's Road North, Dublin 3, East Wall, Dublin 3"
€230 weekly,"Available 1st September - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Leopardstown Avenue, Stillorgan, Co. Dublin"
"€1,300 monthly","Available 25th August - 2 bedrooms apartment with two bathrooms. Located at santry cross-  close to city centre and within easy access of the m50 dublin airport. It is within
walking distance of the northwood leisure centre, ikea, dcu, coffee s...","Apartment 20 , The Turnpike, Santry Cross, Dublin, Poppintree, Dublin 11"
"€1,000 monthly","Available 1st September - **strictly no calls, please email to inquire 

double bedroom to rent, with its own bathroom ( not en-suite). Apartment is 2 minute walk from balally luas stop. Apartment is situated on the 5th floor and has a balcony. S...","Apartment 75 , The Oaks, Rockfield, Dundrum, Dubli, Kilmacud, Co. Dublin"
€200 weekly,"Available Now - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Glasanaon Road, Finglas, Dublin 11"
€225 weekly,"Available 1st December - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Kilworth Road, Drimnagh, Dublin 12"
"€1,250 monthly","Available Now - Brand new own door studio available from monday - friday each week only. Own door studio in a fantastic location. Completely self contained

25 minute walk to ucd smurfit business school

5 minute walk to n11/bus corrido...","Off Newtown Park Avenue, Blackrock, Co. Dublin"
€919 monthly,"Available 7th September - A spacious double bed with a private bathroom in a 3 bed apartment. This apartment is in a very nice neighbourhood right in front of dundrum shopping center, less than 5 mins walk to lidl, tesco, flyefit gym. Also 7 mins...","Dundrum View,the Laurels,sweetmount Park,dundrum,dublin 14, Dundrum, Dublin 14"
€800 monthly,"Available 25th August - A well maintained modern 4 bed house has a very large attic conversion that is setup as a double bedroom to let. Loads of storage space, large double bed, couch and setup with a desk and chair too. Only 2 people in the h...","Brookfield Green,dublin 12, Kimmage, Dublin 12"
€625 monthly,"Available Now - Available now large bedroom to let in lovely 4 bed roomed redbrick period house very conveniently situated in harolds cross in dublin 6w. The house is approx 2 miles from st stephens green, and within walking distance of...","20 Casimir Road, Harold's Cross, Dublin 6"
€800 monthly,Available 9th September - Double room 800euro per month excluding bills available from 9th september. Double bedroom to rent in a lovely three bed house. You will be sharing a bathroom with one other person. You will be living with an irish woman...,"Mount Prospect Avenue, Clontarf, Dublin 3"
€700 monthly,"Available Now - Downstairs double bedroom available to rent in our home. We are a busy family of 2 adults and 2 children. House is ideally located, less than 1 km from beaumont hospital, 2 km from dcu and 4 km from city centre. House is...","Elm Mount Road, Beaumont, Dublin 9"
"€1,095 monthly","Available Now - *accommodation available for 3 private rooms in d24 tallaght dublin in the same house -
the grove, millbrook lawns, dublin 24, *","The Grove,millbrook Lawns,dublin 24, Oldbawn, Dublin 24"
€550 monthly,"Available 1st September - Note: weekend not included
available for sunday night to friday morning 

double room in converted attic with own en suite in a mid terrace, newly refurbished house in castleknock. 37 and 38 bus a 5 minute walk away t...","Park Drive Close,castleknock,dublin 15, Castleknock, Dublin 15"
