prices,available,address
"€1,200 monthly",Available 21st August - Person required to share house in ranelagh village with 2 others. It is a large double room in a property has been recently refurbished to a high standard. Strictly no pets or smoking. The house is within a 5 minute walk...,"103 Ranelagh, Dublin 6, Ranelagh, Dublin 6"
€125 weekly,"Available 1st September - **5 day rental period - double room in swords**

double room to rent in a quiet house in the castleview estate in swords. Sunday to friday (or monday evening to friday depending on needs). If you are a teacher or student...","Castleview, Swords, Co. Dublin"
"€1,390 monthly","Available Now - Property overview:
move in immediately to a spacious room in a luxurious penthouse apartment located in the prestigious vantage apartments, central park, leopardstown, dublin 18. This is an exclusive opportunity for a pr...","Vantage Apartments, Central Park, Dublin 18, Leopardstown, Dublin 18"
€160 weekly,"Available 26th October - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Oakview Old Road, Portmarnock, Co. Dublin"
€200 weekly,"Available 30th November - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Ormond View, Swords, Co. Dublin"
€220 weekly,"Available Now - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Castleknock Crescent, Castleknock, Dublin 15"
€250 weekly,"Available Now - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Barnhill Crossroads, Lucan, Co. Dublin"
€180 weekly,"Available Now - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Deerpark Square, Kiltipper, Dublin 24"
€850 monthly,"Available 15th September - Sunday evening to friday only. Ensuite room available in a newly renovated house in terenure, under 5-minute walk from the village. Ideal for a final year or mature student looking for accommodation from sunday evening t...","Terenure, Kimmage, Dublin 6w"
€955 monthly,Available 16th September - Large double bedroom en-suite for rent in 2 bedroom apartment. Bedroom has a king size bed and plenty of storage and bathroom has full size bath and shower. Sharing with one friendly female in her 30s. Spacious and brigh...,"Ballintyre Square, Dublin 16, Ballinteer, Dublin 16"
€800 monthly,"Available 22nd August - Lovely family home in great location, we're moving to the west of ireland for a year and will be there around 1 day per week.","Martin Grove,blackhorse Avenue,dublin 7, Ashtown, Dublin 7"
"€1,200 monthly","Available 7th September - En suite double bedroom available in inchicore
inchicore, dublin 8
rent price is 1200 euro per month. Ensuite double bedroom available from september 7th. Deposit is the same amount as the rent. Bills turn around 60/80...","Davis Court, Thomas Davis St W, Inchicore, Dublin 8"
"€1,300 monthly","Available Now - Large studio room with two single beds available

studio room is separate to rest of house and all items in it are not shared by any other tenants 

permanent accommodation available in hansfield, dublin 15. It's a studi...","Barnwell park, Dublin 15"
"€1,000 monthly","Available 3rd September - A large double master bedroom with fitted wardrobe, own balcony and private en-suite bathroom is available to rent in this bright, spacious 2-bed apartment set over two floors. Tenant (female preferred) will be sharing a...","Block Eden,prospect Hill,finglas Road,dublin 11, Finglas, Dublin 11"
€700 monthly,"Available Now - Available now. Cosy 1 double bedroom available on the canal parnell road, harold's cross. Walking distance to city centre. Well equipped kitchen and spacious living room. Large back garden.","Parnell Road, Harold's Cross, Dublin 8"
€600 monthly,"Available 29th August - Area: marino/drumcondra 

looking for someone to take over my room while i'm away. Ideally looking for a female. House shared with 3 others. 2m, 1f. Working professionals in mid 20s. No overnight guests. Move in 29/08. M...","Griffith Court,dublin 3, Marino, Dublin 3"
€825 monthly,Available 1st September - Double room available in owner-occupied house in santry. Sharing with a married couple. 10 minutes walk from dcu and omni shopping centre. 5 minutes walk to bus stop at the bottom of the road for bus no 1 to city centre ...,"Shanliss Avenue, Santry, Dublin 9, Whitehall, Dublin 9"
"€1,000 monthly","Available Now - Semi-detached house in quiet area within cycling distance to city centre. Near the canal, nice parks in the area, good shopping markets nearby.","19 Rathdrum Road, Dublin 12, Harold's Cross, Dublin 6"
€650 monthly,"Available 21st August - ** monday to friday only ** 
double bedroom available to rent in house share with one person in late 30s. House has all mod cons including smart tv, central heating controls and pump shower as well as off-street parking....","35 Clogher Road, Crumlin, Dublin 12"
€900 monthly,"Available Now - Long-term accomodation available for male/female. You will be sharing the house with 2 working professionals (26m, 27f). Charlestown shopping centre - 15 minutes walk
city centre - 40 minutes by bus / 25 minutes by cycle...","Parkview Close, Dublin 11, Poppintree, Dublin 11"
