prices,available,address
€190 weekly,"Available Now - Ucd/trinity - college rental
this is 4/5 night  rental only !
occasional weekends on request only. Available august 2024 for college terms rental deposit can hold this room


euro rent¬190 + bills¬20 weekly for bills for...","Kilcross Dublin 18, Sandyford, Dublin 18"
€900 monthly,Available Now - Beautiful home in the center of howth with double room available for short term rent: 3-6 months.,"4 Saint Mary's Place, Howth, Co. Dublin, Howth, Dublin 13"
€400 monthly,"Available Now - -- weekends only --  room not available mid week 


1 double bedroom available to rent. 2 bedroom apartment on fourth floor with one shared bathroom. Owner occupied. Right beside charlestown shopping center.","Melville Cove - Weekends Only, Finglas, Dublin 11"
€900 monthly,"Available 28th August - We have a spacious double room available,

private bathroom

the property is in an ideal location,

10min from dublin airport
2 min walk from swords express
that will bring you to city centre in 20mins,

decent size back...","Holywell Mews,swords,co. Dublin, Kinsealy, Co. Dublin"
"€1,000 monthly","Available 8th September - Recently renovated house 10 mins walk to the luas stop, 10 mins drive from m50 and n11, plenty of bus routes nearby. This is a big enough house for shared living space. Double room upstairs with also their own living roo...","Lakelands Crescent,stillorgan,blackrock,co. Dublin, Kilmacud, Co. Dublin"
"€1,100 monthly","Available Now - Modern and stylish double room in top floor apartment with large balcony in beacon south quarter. Welcome to your new home in beacon south quarter! 
this immaculate top-floor apartment is in excellent condition and will ...","The Edges, Beacon South Quarter, Sandyford, Dublin 18"
"€1,050 monthly",Available Now - Double room in newly decorated three bed one bathroom house in howth village for short term rent. 1050 euro per month. Possible long term. Very close to dart station. Must have reference.,"69 Grace O'malley Road, Howth, Dublin 13"
"€1,000 monthly","Available Now - Large double bedroom ready to rent on the 1st

this house is in rusheeny village blanchardstown 

looking for someone chill to join the house. Email for a viewing","Rusheeny Village, Clonsilla, Dublin 15"
"€1,000 monthly",Available Now - Available from august1st. Lovely double room for  reliable person  sharing with myself and my son. The room is available for 6 months.... Providing everyone happy!. All bills are  included in price of the rent. Gas heati...,"The Meadows West, Belgard Heights, Dublin 24"
"€1,400 monthly","Available 15th September - Discover a better standard of living at cherry lane, the latest prestigious address in the wonderful new suburb of cherrywood. Perfectly situated at the edge of dublin city, in a picturesque spot between the mountains an...","Tully Green, Cherrywood, Co. Dublin"
"€1,200 monthly","Available Now - *long term accommodation available

*en-suite room available in a brand new built 3 bed 3 bath house with all the basic amenities. *brand new super king sized bed with new luxurious memory foam mattress
* a car parking s...","Graydon,newcastle,co. Dublin, Baldonnell, Dublin 22"
€800 monthly,"Available 1st September - Modern 2 bedroom apartment with balcony. - double bedroom for sole use
- main bathroom for sole use (no en-suite)
- available for minimum 12 months
- tenant must be friendly, tidy and clean
- includes 1 parking space
- r...","Saint Edmunds Park, Juliet Square, Dublin 22, Dublin 20"
"€1,000 monthly","Available 1st September - Bright, airy and spacious house in a quiet cul de sac. 1 minute walk to centra and bus stops. 5 mins from lidl, post office, penny hill etc... 10 mins drive to n4, n7 & m50.","9 Foxborough Close, Lucan, Co. Dublin, Lucan, Co. Dublin"
€175 weekly,"Available Now - Dublin host families are proud to offer a double bedroom in this fabulous property located only 10 kilometres from dublin city centre. Ideally situated close to grange castle business campus, clondalkin village, and only...","Westbourne Drive, Clondalkin, Dublin 22"
"€1,200 monthly","Available Now - Hola! i am looking for a flatmate :) (non-smoker)

the apartment is bright and spacious with two double bedrooms, two bathrooms and two balconies. (you will have your own bathroom!)

the location is very central with acc...","Railway Street, Dublin 1"
"€1,500 monthly","Available Now - King-size room available in a 2-bedroom apartment in the heart of sandyford, dublin 18. Features include a private balcony, private bathroom, a triple door wardrobe and extra storage room. Conveniently located downstairs...","Beacon South Quarter,dublin 18, Stillorgan, Co. Dublin"
€275 weekly,"Available Now - *includes all utility bills*
terenure house share with one mature professional female. Bright spacious double bedroom. Sunny garden. Car parking. Very quiet house. Available for short term of one month

centrally located...","Cedar Court, Terenure, Dublin 6"
"€1,000 monthly","Available Now - Lovely large double bedroom available, with his own private bathroom, built in wardrobes and with a beautiful back garden view in a non smoking, clean and cosy, friendly spacious house. Own fridge and parking space avail...","Littlepace, Clonee, Dublin 15"
"€1,250 monthly","Available Now - Beautiful area in the heart of donnybrook. A double room in a house occupied by male professional. Located in central donnybrook- fantastic location, a short walk to the city centre, ranelagh and milltown, also well conn...","51 Donnybrook Manor, Dublin 4, Donnybrook, Dublin 4"
"€1,300 monthly","Available 2nd September - This is 3 bedroom apartment. Double room with ample storage and shared bathroom available. Heating,electricity and wifi bills will be split in between two tenants. 3arena,point square,centra, spar,dunnes store,the point ...","Quayside Quarters Dublin Landings, Dublin 01, East Wall, Dublin 3"
