prices,available,address
€190 weekly,"Available Now - Available for 1 year
well maintained. Great location. Close to super valu. 5 minutes walk to bus. Quiet house. Pristine condition. Email with a brief description phone number and tell us about yourself. 1 x double room e...","Boroimhe Laurels,swords,co. Dublin, Swords, Co. Dublin"
€925 monthly,"Available 25th August - Large double room with own ensuite private bathroom available in spacious modern 2 bed apartment sharing with an easy going professional male. Apartment has all mod cons, wooden floors throughout, fitted wardrobes, large...","The Lighthouse Apartments, Church Road, East Wall, Dublin 3"
€750 monthly,Available Now - A double bedroom available to rent in this modern 3 bedroom semi-detached house in clonsilla. This spacious property is on a number of major bus routes and is only 5 minutes from clonsilla train station. This property co...,"Allendale Drive, Clonsilla, Dublin 15"
€200 weekly,"Available Now - ** weekday accommodation dublin ***

key features:

	-	available monday to friday
	-	fast broadband
	-	netflix & sky channels
	-	on-street parking
	-	central location
	-	bills included

ideal for:

	-	professionals or st...","**5 Days Only** Apartment 5, Block 19, New Priory, Dublin 13, Baldoyle, Dublin 13"
"€1,150 monthly","Available Now - The house:

one double bedroom available, shared sizable bathroom in a large two bedroom two story house in rathfarnham dublin 14, room comes with a double bed, 2 sets of drawers and hanging space, plenty of storage avai...","8 Saint Mary's Avenue,Rathfarnham,Dublin 14, Dublin 14"
€750 monthly,"Available Now - Double room available from 1st august and a single room available from 7th august. The house has three bathrooms(one is an ensuite which is not this room), a kitchen and a separate living room. The house is within 5 mins...","Saint Clement's Road, Dublin 9, Drumcondra, Dublin 9"
"€1,250 monthly","Available Now - A large house with a few studio rooms and double room available to rent, long term only. - locates in dublin 9,  opposite omni shopping centre with tesco, lidl, boots
- various bus stops outside house
-walking distance w...","Swords Road, Dublin 9, Whitehall, Dublin 9"
€850 monthly,"Available 1st September - We are looking for girls only! either single or a lesbian couple. Please read the description carefully before applying. Spacious room with a double bed available, share bathroom with only one other girl. You will share ...","One Three North, Marrsfield Avenue, Clongriffin, Dublin 13, Donaghmede, Dublin 13"
"€1,066 monthly","Available 24th August - Dual  aspect modern 3 bed apartment sharing with  2  male profesessioals
 
fully fitted kitchen with all mod cons. Gold shield  central heating

diningroom/sitting room fitted with modern furniture. 3 double bedrooms wit...","41 Mellowes Quay, Dublin 8"
"€1,200 monthly","Available Now - Spacious en-suite double bedroom with balcony available in a two-bed flat. Seeking a long-term, no fuss, and tidy flatmate. Ideally late 20s to late 30s. Lgbtq+ friendly. Couples are ok but rent would be higher at €...","The Oaks, Scholarstown Wood, Knocklyon, Dublin 16"
€240 monthly,"Available Now - Female sharer only 

wonderful homeshare opportunity for  female sharer to share the spacious home with an older lady who would love the peace of mind of knowing she is not living alone. She is offering a double bedroo...","Butterfield Avenue, Rathfarnham, Dublin 14"
"€1,285 monthly",Available 25th September - Double room with own bathroom for one. Experience the best of coastal living in this delightful be spacious property located in this picturesque area of dublin. This apartmemt offers a unique combination of comfort and c...,"Raheny, Kilbarrack, Dublin 5"
"€1,150 monthly","Available Now - Room available for minimum 5 months in a large modern 4 bedroom house sharing with 3 professionals in a private gated housing complex at harold's cross. Wardrobe, locker and built in presses. Sharing a bathroom. Minutes ...","Leinster Park, Harold\'s Cross, Dublin 6"
"€1,100 monthly",Available Now - €700 per person in a double/twin room. Suitable for two masters students. Please only apply if you are two people who are happy to share a room together. A double bed or two single beds can be provided. Five minute ...,"Allen Park Road, Stillorgan, Co. Dublin"
€900 monthly,Available Now - Hi 1 double room to rent in a 2 bed apartment. Looking for a female to share with. You will be sharing with just 1 other housemate. A comfortable room with plenty of storage space. A nice and quiet apartment overlooking ...,"James's Street Dublin 8, Kilmainham, Dublin 8"
€800 monthly,Available Now - 5 minutes drive to blanchardstown. 2 minutes walk lidl&supervalue. 3 minute walk to school. Bus stop very near from house.,"15 Boulevard, Mount Eustace, Dublin 15, Tyrrelstown, Dublin 15"
"€1,050 monthly","Available Now - Hi

one bedroom available immediately to rent in lusk co. Dublin in a brand new fully furnished 3 bedroom double fronted house with a garden view

all bills are included in the rent

preferences: male or female 

- 30 mi...","Lusk,co. Dublin, Lusk, Co. Dublin"
€850 monthly,"Available 24th August - Amazing house opposite the leopardstown inn. Built in 2008, the house is in great condition. All mod cons including pool table. Luas 5 min walk. N11 bus corridor 5 min walk. Great location. Definitely worth viewing. Plea...","7 Leopardstown Oaks, Stillorgan, Co. Dublin"
€900 monthly,"Available 15th September - A fully furnished double bedroom available for solo occupancy in a newly renovated house in cabra, available mid-september 

the house has a sunny sitting room, leading into kitchen dining area with large patio doors out...","Cabra, Dublin, Cabra, Dublin 7"
€150 weekly,"Available 1st September - ** available from 1 september, mid-week only (sunday night to friday morning). This home is situated beside rathfarnham castle park, in a quiet and safe cul-de-sac. This is a clean, tidy, warm and comfortable home with a...","Rathfarnham Wood, Dublin 14, Dublin 14"
